id,name,categories,prices
AWKug03QuC1rwyj_p5PQ,Alpha a6500 Mirrorless Digital Camera (Body Only),"Photography,Photography brqwasseuwbxvrwtdreewezqfxycfsdyzrceza,Digital Cameras,Cameras & Photo,Photography wqctvrrvbybxwsxf,Mirrorless System Cameras,All Mirrorless Cameras,Electronics,Mirrorless Cameras,Camera & Photo,Cameras & Camcorders",1181.76
AWKXniCGYSSHbkXwyv-f,WI-SP500 Wireless In-Ear Sports Headphones (Black),"Headphones,Bluetooth Headphones,All Headphones,Electronics,Audio,Mobile",78
AWK80MDaYSSHbkXwzOPK,"Intuos Creative Pen Tablet (Small, Black)","Computers,Computers & Accessories,Computer Accessories & Peripherals,Electronics,Computers & Tablets,Computer Peripherals,Graphics Tablets,Graphic Tablets Digital Pens,Mice Pointing devices,Input Devices,Graphics Tablets & Digital Pens",79.99
AWK80AtWuC1rwyj_qBNI,Razer ManO'War Wireless 7.1 Surround Sound Gaming Headset (Black) Man O War READ,"Computers,Audio & Video Accessories,Video Game Accessories,Computers & Accessories,Computer Accessories & Peripherals,Electronics,See more Razer Mano'war Wireless 7.1 Surround Sound Gam...,Accessories,Gaming Headsets,Headsets & Microphones,Headsets,Video Games,Speakers, Headsets, Mics Webcams,Computers & Tablets,Computer Peripherals,Computer Headsets,Video Games & Consoles",42
AWIwKRuwIwln0LfXkC7s,Ultimate Ears - BLAST Smart Portable Wi-Fi and Bluetooth Speaker with Amazon Alexa Voice Assistant - Blizzard,"Portable Bluetooth Speakers,Bluetooth & Wireless Speakers,Portable Audio & Video,Electronics,Portable Speakers & Docks,Audio,All Bluetooth & Wireless Speakers",179.99
AWIsfzRiYSSHbkXwx4H3,"Hisense - 55 Class - LED - H9 Series - 2160p - Smart - 4K UHD TV with HDR""","LED & LCD TVs,TVs,4K Hisense TVs,TV & Video,Electronics,4K TVs by Brand,Television & Video,Televisions,TV & Home Theater,All Flat-Panel TVs",799.99
AWIsTj6wHh53nbDRHmEp,Toshiba TH-GW10 Symbio 6-in-1 Smart Home Solution and Security Camera with an Amazon Alexa Speaker built-in,"Smart Home,Portable Audio & Video,Electronics,Security Cameras & Surveillance,Security Camera Systems",249.99
AWInTtJpYSSHbkXwx3pV,TiVo - Roamio OTA VOX 1TB Digital Video Recorder - Black,"Consumer Electronics,TV, Video & Home Audio,DVRs, Hard Drive Recorders,Electronics,Streaming Media Players,Television & Video,TV & Home Theater",399.99
AWInAvU5YSSHbkXwx3jO,Hauppauge - WinTV-dualHD Cordcutter - Black,"Computers & Accessories,Computer Components,Electronics,TV & Home Theater,Internal TV Tuner & Capture Cards,TV & Home Theater Accessories,Digital TV Tuners & Converters",69.99
AWImbym8Hh53nbDRHk6w,X900F-Series 75-Class HDR UHD Smart LED TV,"LED & LCD TVs,TVs,Electronics,Television & Video,Televisions,TVs Entertainment,TV & Home Theater,All Flat-Panel TVs",3499.99
