id,name,categories,prices
AVzSv0q-vKc47QAVd60B,MU9000-Series 65-Class HDR UHD Smart LED TV,"TVs & Electronics,4K Ultra HD TVs,LCD TVs,Samsung Tax Time Savings,TV, Video & Home Audio,Electronics,Shop TVs by Type,Televisions,TVs Entertainment,TV & Home Theater,All Flat-Panel TVs,LED & LCD TVs,4K Samsung TVs,All TVs,Consumer Electronics,TVs,Refurbished TVs,TV & Video,See more Samsung Un65mu9000 65 Inch UHD 4k Smart TV and...,4K TVs by Brand,Television & Video,LED TVs,4K Ultra HDTVs",1599.99
AVzSv0OV-jtxr-f3yibR,"LG - 75 Class - LED - UJ6470 Series - 2160p - Smart - 4K UHD TV with HDR""","4K Ultra HD TVs,TV, Video & Home Audio,Frys,Electronics,Televisions,TVs Entertainment,TV & Home Theater,All Flat-Panel TVs,LED & LCD TVs,All TVs,TVs,Consumer Electronics,TV & Video,4K TVs by Brand,Television & Video,4K LG TVs",2496.99
AVzRP92MGV-KLJ3aat8K,RX-V583 7.2-Channel Network A/V Receiver,"TVs & Electronics,Home Theater & Audio,Receivers Amplifiers,Receivers,Electronics,Stereo System Components,Hi-Res Home Theater Receivers,TVs Entertainment,High-Resolution Audio,Receivers & Amplifiers,Home Audio,Receivers wdaebvzucdyaaftsaqwqecu,Audio",499.95
AVzNkGvxGV-KLJ3aarCv,XFX - AMD Radeon RX 580 GTR XXX Edition 8GB GDDR5 PCI Express 3.0 Graphics Card - Black/White,"Virtual Reality for PC,Computers & Accessories,Electronics,Computer Cards & Components,VR-Ready GPUs/Video Graphics Cards,GPUs/Video Graphics Cards,Graphics/Video Cards,Computers/Tablets & Networking,Computer Components & Parts,Virtual Reality-Ready Components for PC,Computer Components,Graphics Cards,Video Games,PC Gaming,Computers & Tablets",329.99
AVzNkGvq-jtxr-f3yc_7,XFX AMD Radeon RX 580 8GB GDDR5 PCI Express 3.0 Graphics Card,"Electronics,Computers & Accessories,Computer Components,Graphics Cards,Computers & Tablets,Computer Cards & Components,GPUs/Video Graphics Cards,Computers/Tablets & Networking,Computer Components & Parts,Graphics/Video Cards",359.99
AVzNkD4bglJLPUi8FXQC,"Asus - 2-in-1 15.6 4K Ultra HD Touch-Screen Laptop Intel Core i7 16GB Memory NVIDIA GeForce GTX 950M - 2TB HDD + 512GB SSD - Sandblasted matte black aluminum""","Computers,Asus Laptops,Computers & Accessories,Electronics,All Laptops,PC Laptops,Laptops By Brand,Computers/Tablets & Networking,PC Laptops & Netbooks,Laptops & Netbooks,Computers & Tablets,Laptops,2 in 1 Laptops",1099.99
AVzNjwZZ-jtxr-f3yc_y,SiriusXM SXEZR1V1 XM Onyx EZR Satellite Radio Receiver with Vehicle Kit,"Satellite Radio,Satellite Radios,Car & Vehicle Electronics,Car Satellite Radios,Frys,Electronics,Car Electronics,Audio,SIRIUS XM Satellite Radio,Car Audio,Car Electronics & GPS",79.99
AVzNjFsJvKc47QAVd1TD,AVR-X1400H 7.2-Channel Network A/V Receiver,"Consumer Electronics,TV, Video & Home Audio,Receivers Amplifiers,Receivers,Home Theater Receivers,Electronics,Receivers & Amplifiers,Television & Video,TVs Entertainment,Home Audio,Audio,AV Receivers & Amplifiers",399
AVzNi793GV-KLJ3aarCf,IOGEAR Wireless Screen Sharing and MiraCast Kit (GWSSKIT),"Computers & Accessories,Electronics,TV & Home Theater,TVs Entertainment,PC to TV,Networking Products,TV & Home Theater Accessories,General Accessories,Home Theater Networking",79.99
AVzN0kf1vKc47QAVd1bS,Onkyo TX-8270 2 Channel Network Stereo Receiver with 4k HDMI,"TVs & Electronics,Home Theater & Audio,Receivers Amplifiers,Receivers,Electronics,TVs Entertainment,Home Audio & Theater,All Home Stereos,Receivers & Amplifiers,Television & Video,Home Audio,Audio,AV Receivers & Amplifiers",499
AVzJpZsEvKc47QAVd0bp,Goal Zero Nomad 7 Plus Solar Panel,"Solar & Wind Power,Generators & Portable Power,Solar Chargers,Patio, Lawn & Garden,Power Accessories,Solar Panels,Cell Phones,Cell Phone Accessories,Cell Phone Batteries & Power,Mobile,Solar Portable Power",99.95
AVz8zq-zglJLPUi8HFJg,Rand McNally 7 Connected Car Tablet Overdryve 7c,"Electronics,Computers & Accessories,Computers & Tablets,Tablets,Consumer Electronics,Vehicle Electronics & GPS,GPS Units,Car Electronics & GPS,GPS Navigation & Accessories,Portable GPS",72.78
AVz8z52avKc47QAVfisq,Sony - Shake Audio System - Black,"TV, Video & Home Audio,Portable Audio & Video,Electronics,TVs Entertainment,Compact & Shelf Stereos,Consumer Electronics,Home Audio Stereos, Components,Mini Hi-Fi Systems,Boomboxes,Home Audio,Tabletop Audio,Audio,Stereo Shelf Systems",499.99
AVz846Pf-jtxr-f30JIn,Samsung-3-Pack-Connect-Home-Smart-Wi-Fi-System-AC1300,"Computers,Networking,Computers & Accessories,Electronics,Mesh Wi-Fi,Wi-Fi & Networking,Home Automation,Networking & Wireless,Computers & Tablets,Home Automation Kits,Electrical,Whole Home Smart Wi-Fi,Home Automation & Security,Routers,Home Networking & Connectivity,Wireless Networking,Home Automation and Security,Whole Home Smart Wi-Fi vsfwsaywuaxvyz,Home Electronics,Wireless Routers,Home Automation Hub,Consumer Electronics,Automation Packs,Computers/Tablets & Networking,Whole Home Wi-Fi Systems,Smart Home Assistants, Controllers & Hubs,Smart Home,Smart Home Kits and Hubs,Home Improvement,Networking Products,Whole Home Smart Wi-Fi zdztuauwxcwwrb,Whole Home Smart Wi-Fi rzfbqsbddwuyywwqdvdzdvxasb",379
AVz7Rf5L-jtxr-f30IE4,Details About Sony Kd43x720e 43inch 4k Ultra Hd Smart Led Tv (2017 Model) Kd43x720e,"4K Ultra HD TVs,TV, Video & Home Audio,Electronics,Televisions,TVs Entertainment,TV & Home Theater,TVs by Brand,All Flat-Panel TVs,LED & LCD TVs,All TVs,Consumer Electronics,TVs,TV & Video,Television & Video,Sony TVs",535.99
AVz5wcrn-jtxr-f30F69,Yamaha - AVENTAGE 7.2-Ch. 4K Ultra HD A/V Home Theater Receiver - Black,"TV, Video & Home Audio,Receivers Amplifiers,Receivers,Frys,Electronics,TVs Entertainment,Consumer Electronics,Home Theater Receivers,Television & Video,Receivers & Amplifiers,Home Audio,Audio,AV Receivers & Amplifiers",549.98
AVz5wclz-jtxr-f30F66,Pioneer - Elite 7.2-Ch. Hi-Res 4K Ultra HD HDR Compatible A/V Home Theater Receiver - Black,"TV, Video & Home Audio,Receivers Amplifiers,Receivers,Frys,Electronics,TVs Entertainment,Home Audio & Theater,All Home Stereos,Consumer Electronics,Home Theater Receivers,Receivers & Amplifiers,Television & Video,Home Audio,Audio,AV Receivers & Amplifiers",699
AVz5wc0H-jtxr-f30F6_,Yamaha - AVENTAGE 7.2-Ch. 4K Ultra HD A/V Home Theater Receiver - Black,"TV, Video & Home Audio,Receivers Amplifiers,Receivers,Frys,Electronics,Receivers xxsdxrxxsxubbsxbrfszdwautssv,TVs Entertainment,Consumer Electronics,Home Theater Receivers,Television & Video,Receivers & Amplifiers,Home Audio,Audio,AV Receivers & Amplifiers",649.95
AVyn8_rsU2_QcyX9UDCW,"Powerstation XXL Three-USB 20,000mAh Battery Pack (Rose Gold)","Mobile Power Packs,Computers,Portable Battery Packs yxdasxffaabvrfusya,Portable Chargers/Power Packs,Portable Battery Packs dzacqzexyxfwtybubrbtxubq,Cell Phones,Portable Battery Packs,Cell Phone Accessories,Cell Phone Batteries & Power,Batteries & Battery Packs,Accessories,Portable Power Banks,Mobile Power,Portable Battery Packs dfcdxxzwfqfqubfvwaac,Power Accessories,Cell Phones & Accessories",99.95
AVwvGPRyU2_QcyX9R3FW,XPS 8920 Tower Desktop Computer,"Computers,Desktops Workstations,Desktop Computers,Desktop Computers wbeszexzzxeteywxtzby,Computers & Tablets,Desktop & All-in-One Computers,All Desktops,Electronics,Computers & Accessories,Desktops,Towers,Computers/Tablets & Networking,Desktops & All-In-Ones,PC Desktops & All-In-Ones",799
AVwvFm-zU2_QcyX9R3FA,"Razer - Blade Pro 17.3 4K Ultra HD Touch-Screen Laptop - Intel Core i7 - 32GB Memory - NVIDIA GeForce GTX 1080 - 1TB SSD - Black""","Computers/Tablets & Networking,Computers & Accessories,PC Laptops & Netbooks,Laptops & Netbooks,Traditional Laptops,Computers & Tablets,Electronics,Laptops,All Laptops,PC Laptops",3149.99
AVwvEaC8U2_QcyX9R3Eh,Apple - Pre-Owned iPad mini 4 - 16GB - Space gray,"Tablets,Computers & Accessories,Refurbished Tablets,Computers & Tablets,Electronics",309.99
AVwsxeF6U2_QcyX9RyIp,SanDisk Extreme 500 Portable SSD 500GB SDSSDEXT-500G-G25,"Computers,Solid State Drives,External Drives szwzcatdryyexyswev,Computers & Accessories,External Drives,Computer Accessories & Peripherals,Computers & Tablets,Hard Drives & Storage,Electronics,External Solid State Drives,Drives Storage,Data Storage",149.99
